gene	community
Rv0424c	0
Rv0060	0
Rv2064	9
Rv2483c	11
Rv3489	12
Rv0472c	6
Rv0025	95
Rv3005c	0
Rv3269	12
Rv0938	1
Rv0935	11
Rv3498c	3
Rv1677	9
Rv3914	7
Rv2181	1
Rv0557	14
Rv2970c	2
Rv1846c	0
Rv2217	3
Rv3161c	10
Rv3793	1
Rv0139	4
Rv0684	4
Rv0019c	7
Rv0367c	85
Rv1841c	0
Rv0587	3
Rv0813c	1
Rv2366c	0
Rv1710	9
Rv3281	2
Rv2500c	2
Rv2909c	4
Rv0676c	10
Rv0505c	0
Rv1465	12
Rv3477	8
Rv1630	4
Rv1473A	2
Rv2193	3
Rv1830	6
Rv2908c	4
Rv1249c	3
Rv1409	0
Rv1392	0
Rv0502	11
Rv3025c	0
Rv0909	11
Rv1860	13
Rv3204	94
Rv1480	7
Rv3799c	2
Rv1417	4
Rv0632c	2
Rv0156	1
Rv3794	1
Rv3887c	8
Rv2456c	13
Rv1185c	3
Rv2460c	13
Rv2708c	6
Rv0038	5
Rv2954c	8
Rv0055	4
Rv0530	9
Rv2947c	3
Rv3135	0
Rv0672	2
Rv3244c	1
Rv0667	4
Rv3614c	8
Rv3757c	17
Rv3257c	12
Rv1610	1
Rv0017c	7
Rv2982c	11
Rv3701c	0
Rv1620c	0
Rv2418c	1
Rv1498c	6
Rv3119	5
Rv0053	4
Rv0247c	3
Rv2698	9
Rv1798	8
Rv2750	5
Rv2592c	1
Rv3411c	0
Rv0242c	2
Rv1006	0
Rv3465	12
Rv2711	6
Rv3280	2
Rv0309	0
Rv0810c	34
Rv1827	7
Rv0134	6
Rv3423c	7
Rv0510	9
Rv3842c	11
Rv1468c	93
Rv2327	1
Rv3075c	2
Rv0169	3
Rv3849	8
Rv1839c	92
Rv2521	7
Rv3227	0
Rv2992c	4
Rv3478	8
Rv0693	5
Rv2243	3
Rv3519	91
Rv0270	3
Rv3813c	20
Rv2840c	4
Rv2296	5
Rv3695	5
Rv3207c	7
Rv1606	0
Rv1197	8
Rv3647c	8
Rv2745c	6
Rv0078B	35
Rv3579c	4
Rv3885c	8
Rv1624c	0
Rv1544	11
Rv1110	6
Rv1678	2
Rv1892	24
Rv3438	1
Rv1882c	0
Rv0921	12
Rv3584	3
Rv3417c	13
Rv0142	3
Rv2373c	13
Rv1182	3
Rv2536	10
Rv2830c	2
Rv2222c	0
Rv2930	3
Rv3248c	0
Rv0823c	9
Rv0204c	1
Rv1323	2
Rv1481	7
Rv0675	2
Rv3414c	7
Rv0046c	0
Rv0435c	5
Rv1080c	4
Rv2675c	9
Rv2676c	9
Rv1614	0
Rv2783c	4
Rv3457c	4
Rv0018c	7
Rv0501	4
Rv3616c	8
Rv0778	3
Rv3856c	15
Rv1102c	19
Rv3919c	1
Rv1023	2
Rv1789	90
Rv2693c	6
Rv3050c	9
Rv2218	2
Rv3098A	89
Rv2772c	0
Rv3795	1
Rv3459c	4
Rv1418	0
Rv1836c	1
Rv0363c	2
Rv0243	2
Rv0994	5
Rv3155	3
Rv1711	9
Rv3922c	4
Rv3044	2
Rv3890c	8
Rv1233c	15
Rv0207c	1
Rv0635	4
Rv2068c	2
Rv1547	1
Rv0867c	0
Rv3419c	7
Rv0103c	25
Rv1122	2
Rv0042c	13
Rv0703	4
Rv3684	0
Rv2990c	8
Rv3200c	1
Rv1361c	8
Rv2836c	4
Rv2109c	5
Rv2372c	13
Rv3362c	4
Rv1752	10
Rv0168	3
Rv0300	10
Rv3619c	8
Rv3778c	12
Rv3620c	8
Rv1794	8
Rv0346c	0
Rv2609c	6
Rv0582	10
Rv2540c	0
Rv2921c	4
Rv1149	23
Rv0057	1
Rv1178	0
Rv0290	8
Rv2459	88
Rv2781c	5
Rv2902c	6
Rv1296	0
Rv2993c	7
Rv2721c	7
Rv2348c	27
Rv1871c	8
Rv3605c	0
Rv0613c	8
Rv3588c	1
Rv2900c	0
Rv0903c	5
Rv2859c	0
Rv3083	9
Rv0706	4
Rv3673c	9
Rv1489	5
Rv2475c	3
Rv0446c	87
Rv3874	8
Rv3317	3
Rv0202c	1
Rv3251c	0
Rv3247c	9
Rv3410c	0
Rv1536	0
Rv1644	4
Rv0080	13
Rv3810	7
Rv2426c	86
Rv1911c	4
Rv0984	5
Rv1815	0
Rv3284	2
Rv2140c	4
Rv2980	1
Rv3118	5
Rv2828A	2
Rv0719	4
Rv0174	3
Rv0072	5
Rv0589	3
Rv1489A	2
Rv3847	4
Rv2704	6
Rv0634c	2
Rv1070c	2
Rv0284	8
Rv3679	11
Rv3656c	1
Rv0432	3
Rv0626	10
Rv2472	106
Rv2299c	13
Rv3568c	5
Rv3396c	0
Rv0186A	16
Rv0659c	19
Rv2848c	9
Rv1696	1
Rv3241c	4
Rv0556	1
Rv2346c	8
Rv3864	8
Rv2604c	2
Rv0178	3
Rv2245	3
Rv2844	5
Rv3704c	0
Rv0757	5
Rv3710	2
Rv3285	2
Rv3867	8
Rv2365c	0
Rv2564	5
Rv3122	96
Rv2210c	2
Rv1538c	0
Rv3879c	8
Rv2861c	4
Rv1303	4
Rv2152c	7
Rv2692	6
Rv3630	12
Rv1321	6
Rv0722	4
Rv1617	2
Rv3589	1
Rv1299	4
Rv0236A	0
Rv0120c	4
Rv3429	107
Rv2114	0
Rv1260	120
Rv2699c	6
Rv0818	5
Rv1334	5
Rv3769	9
Rv2393	0
Rv2605c	2
Rv3092c	0
Rv0710	4
Rv0808	0
Rv1616	2
Rv2950c	3
Rv2557	7
Rv3907c	1
Rv0280	8
Rv2743c	1
Rv1205	1
Rv0047c	0
Rv1768	18
Rv3804c	13
Rv3217c	1
Rv0533c	3
Rv2682c	6
Rv0685	4
Rv3010c	2
Rv2139	10
Rv2901c	6
Rv0937c	1
Rv1844c	2
Rv3815c	20
Rv0761c	5
Rv3685c	3
Rv3715c	1
Rv0058	1
Rv3677c	11
Rv3460c	4
Rv1098c	2
Rv2468c	3
Rv2726c	0
Rv2740	6
Rv3006	1
Rv1988	4
Rv0409	0
Rv1302	12
Rv2994	7
Rv2927c	1
Rv1812c	129
Rv3293	0
Rv2190c	13
Rv2538c	0
Rv1628c	2
Rv2898c	1
Rv2679	2
Rv2858c	0
Rv1301	4
Rv1701	1
Rv0623	10
Rv3199c	1
Rv3877	8
Rv3750c	10
Rv1766	16
Rv3587c	1
Rv1297	4
Rv0755c	8
Rv3920c	4
Rv0010c	1
Rv2091c	1
Rv3042c	0
Rv0037c	5
Rv0869c	5
Rv0995	7
Rv0832	4
Rv3801c	3
Rv1184c	3
Rv2724c	2
Rv1257c	2
Rv3697c	10
Rv1142c	2
Rv3725	4
Rv1699	4
Rv1013	3
Rv0036c	5
Rv1885c	0
Rv3916c	1
Rv3002c	2
Rv2987c	2
Rv3045	0
Rv0528	9
Rv3328c	5
Rv0489	2
Rv0506	9
Rv0262c	3
Rv3420c	7
Rv2325c	1
Rv0563	6
Rv2946c	3
Rv3689	5
Rv1234	17
Rv0277A	10
Rv0079	4
Rv1201c	0
Rv2732c	1
Rv2895c	13
Rv3141	2
Rv0680c	5
Rv0692	5
Rv1690	1
Rv3040c	0
Rv2611c	6
Rv0864	5
Rv2342	1
Rv1446c	2
Rv2922c	9
Rv1410c	11
Rv2967c	2
Rv3051c	9
Rv0824c	9
Rv2444c	6
Rv2878c	11
Rv3680	11
Rv1180	3
Rv1658	0
Rv3237c	40
Rv0125	5
Rv1845c	0
Rv2453c	5
Rv2530A	10
Rv2572c	0
Rv0856	11
Rv3600c	0
Rv2335	0
Rv3658c	1
Rv1615	2
Rv0009	4
Rv2883c	4
Rv2955c	8
Rv0514	9
Rv2461c	13
Rv2838c	4
Rv1475c	4
Rv1240	2
Rv3496c	3
Rv2092c	5
Rv1100	1
Rv2563	5
Rv3678c	11
Rv3520c	10
Rv2674	128
Rv1861	0
Rv1332	5
Rv1511	12
Rv3265c	12
Rv0929	11
Rv2220	0
Rv0299	10
Rv0834c	127
Rv2136c	11
Rv2343c	1
Rv2792c	12
Rv2280	2
Rv0221	7
Rv3412	0
Rv3234c	1
Rv0534c	14
Rv1916	2
Rv2301	1
Rv2214c	3
Rv1001	0
Rv2907c	4
Rv3791	1
Rv2260	6
Rv2837c	0
Rv3270	12
Rv3078	126
Rv0333	12
Rv3913	7
Rv2204c	12
Rv0054	1
Rv1849	14
Rv3753c	1
Rv1639c	5
Rv2246	3
Rv2590	3
Rv0434	1
Rv0819	11
Rv2938	3
Rv1010	4
Rv1300	4
Rv2161c	7
Rv0599c	125
Rv2368c	0
Rv3866	8
Rv0936	11
Rv0436c	6
Rv1462	12
Rv1173	10
Rv1577c	124
Rv2395A	21
Rv3607c	0
Rv3853	1
Rv0677c	10
Rv0879c	123
Rv0504c	3
Rv3720	0
Rv2710	6
Rv2129c	11
Rv1174c	8
Rv3154	3
Rv1386	8
Rv1461	12
Rv2870c	6
Rv1876	6
Rv1401	1
Rv3171c	0
Rv2751	5
Rv0503c	3
Rv0730	1
Rv1419	122
Rv3852	1
Rv2959c	8
Rv2093c	5
Rv0758	5
Rv3597c	0
Rv0015c	7
Rv3782	12
Rv1634	1
Rv0511	9
Rv2131c	0
Rv1312	6
Rv3699	83
Rv1309	4
Rv1891	24
Rv0383c	1
Rv2725c	4
Rv2857c	0
Rv1843c	0
Rv2185c	11
Rv1265	121
Rv2780	7
Rv1163	5
Rv0289	8
Rv0350	13
Rv1925	3
Rv3223c	7
Rv1631	0
Rv0875c	1
Rv2677c	9
Rv2101	4
Rv1109c	1
Rv1065	30
Rv2501c	2
Rv1488	5
Rv0642c	26
Rv0308	0
Rv2851c	9
Rv2953	10
Rv2585c	6
Rv2551c	0
Rv2753c	0
Rv2777c	7
Rv0039c	0
Rv0707	4
Rv1229c	3
Rv1293	0
Rv2470	119
Rv2147c	7
Rv0901	0
Rv0967	16
Rv2157c	7
Rv1594	1
Rv3694c	5
Rv3569c	5
Rv3104c	7
Rv0073	5
Rv1133c	0
Rv0958	9
Rv1521	3
Rv1227c	0
Rv3878	8
Rv2146c	7
Rv2392	0
Rv0721	4
Rv3661	109
Rv3859c	0
Rv2219	6
Rv3580c	0
Rv0240	8
Rv0497	1
Rv3906c	1
Rv0145	15
Rv1345	3
Rv1464	12
Rv0495c	1
Rv1591	9
Rv3908	7
Rv3805c	1
Rv0002	1
Rv2956	8
Rv0419	1
Rv0352	4
Rv2523c	3
Rv0559c	10
Rv2790c	2
Rv2841c	4
Rv3882c	8
Rv1863c	118
Rv1823	6
Rv1060	2
Rv3891c	8
Rv3708c	0
Rv2716	14
Rv3613c	8
Rv3626c	0
Rv0539	14
Rv0486	11
Rv3041c	0
Rv1333	5
Rv3711c	1
Rv2519	117
Rv3870	8
Rv3800c	3
Rv0609	10
Rv2586c	6
Rv1172c	10
Rv1479	7
Rv0225	1
Rv1513	12
Rv0476	1
Rv2828c	2
Rv3369	10
Rv1905c	2
Rv2410c	0
Rv2411c	0
Rv3224	7
Rv3145	3
Rv0643c	26
Rv0844c	5
Rv0227c	1
Rv1423	6
Rv0078A	35
Rv3240c	6
Rv1215c	12
Rv0479c	1
Rv0051	1
Rv0499	1
Rv0431	1
Rv0184	12
Rv3609c	0
Rv0302	116
Rv0694	2
Rv3480c	11
Rv1074c	2
Rv1980c	13
Rv3031	1
Rv3146	3
Rv2934	3
Rv0970	16
Rv3681c	6
Rv1195	8
Rv0203	1
Rv3276c	0
Rv3139	2
Rv3043c	3
Rv1209	1
Rv0020c	7
Rv3149	3
Rv2632c	0
Rv3193c	3
Rv1795	8
Rv2455c	2
Rv2021c	115
Rv2530c	10
Rv2935	3
Rv2989	2
Rv3271c	3
Rv2196	3
Rv1854c	3
Rv1421	6
Rv1341	5
Rv1698	1
Rv0382c	10
Rv3140	2
Rv2102	4
Rv2076c	37
Rv2288	6
Rv0884c	0
Rv3503c	9
Rv3266c	12
Rv0682	4
Rv3669	0
Rv3676	0
Rv2431c	8
Rv1279	6
Rv2603c	1
Rv2156c	7
Rv0515	12
Rv1512	4
Rv1486c	1
Rv2593c	1
Rv0490	5
Rv0005	1
Rv1026	1
Rv2940c	3
Rv1613	0
Rv1633	1
Rv0282	8
Rv2192c	0
Rv3206c	5
Rv2524c	3
Rv3709c	0
Rv2775	114
Rv2195	3
Rv0815c	0
Rv0787A	0
Rv0968	16
Rv2314c	32
Rv0609A	10
Rv0562	6
Rv3409c	0
Rv1232c	15
Rv0157	1
Rv3443c	4
Rv2259	6
Rv2583c	4
Rv1979c	10
Rv0279c	1
Rv1642	4
Rv2526	113
Rv0859	2
Rv0939	3
Rv1037c	8
Rv0140	5
Rv1451	3
Rv3900c	112
Rv1543	11
Rv0931c	7
Rv0172	3
Rv1404	111
Rv2159c	7
Rv2681	4
Rv0342	8
Rv2238c	6
Rv2124c	0
Rv0759c	5
Rv2221c	0
Rv1168c	110
Rv1408	2
Rv1322A	2
Rv0170	3
Rv0233	9
Rv2228c	0
Rv1810	0
Rv3606c	0
Rv2684	108
Rv1996	13
Rv2174	1
Rv3514	84
Rv0418	1
Rv0276	66
Rv1697	1
Rv2606c	2
Rv0965c	10
Rv1366A	82
Rv2641	58
Rv1883c	0
Rv3304	11
Rv2018	57
Rv2601	0
Rv2942	3
Rv1221	6
Rv2799	1
Rv1820	2
Rv2916c	4
Rv0701	4
Rv2808	56
Rv3211	4
Rv3335c	0
Rv0708	4
Rv1654	0
Rv1797	8
Rv0478	2
Rv2831	2
Rv0238	6
Rv1206	3
Rv1924c	33
Rv0483	55
Rv1113	54
Rv1389	2
Rv0400c	2
Rv2553c	0
Rv2876	3
Rv0821c	11
Rv1546	11
Rv0753c	2
Rv1990c	53
Rv0148	2
Rv0637	4
Rv0543c	14
Rv3491	1
Rv2094c	5
Rv0175	3
Rv0360c	50
Rv2496c	2
Rv3570c	5
Rv1531	51
Rv0155	1
Rv3364c	2
Rv3373	2
Rv2889c	4
Rv1908c	1
Rv3365c	2
Rv0146	15
Rv1695	1
Rv2290	0
Rv1004c	4
Rv2610c	6
Rv1009	7
Rv3610c	4
Rv2344c	1
Rv3502c	2
Rv0092	25
Rv1161	5
Rv0634B	4
Rv3197	11
Rv0228	1
Rv0876c	1
Rv0332	12
Rv0814c	5
Rv3678A	11
Rv0928	11
Rv2945c	3
Rv3825c	3
Rv0998	13
Rv0532	33
Rv3267	12
Rv2005c	13
Rv2172c	0
Rv2613c	6
Rv3601c	0
Rv2111c	5
Rv3494c	3
Rv0263c	3
Rv0873	2
Rv0855	11
Rv1379	10
Rv2110c	5
Rv1477	7
Rv2334	0
Rv0542c	14
Rv3837c	2
Rv3249c	0
Rv2155c	7
Rv2199c	3
Rv1121	2
Rv2869c	6
Rv3273	3
Rv2396	21
Rv0588	3
Rv2498c	2
Rv3341	0
Rv0353	13
Rv3413c	1
Rv0688	0
Rv0646c	6
Rv2166c	1
Rv0934	11
Rv1095	6
Rv1769	18
Rv2601A	31
Rv0660c	19
Rv2438c	1
Rv2482c	11
Rv0314c	12
Rv0861c	4
Rv0982	5
Rv1534	3
Rv2996c	0
Rv3888c	8
Rv1869c	0
Rv2248	49
Rv0190	16
Rv0704	4
Rv1198	8
Rv1108c	1
Rv0441c	11
Rv0524	9
Rv2364c	4
Rv2951c	10
Rv0050	7
Rv1331	5
Rv0425c	9
Rv2793c	4
Rv0166	3
Rv1571	9
Rv1217c	12
Rv2714	14
Rv0932c	11
Rv2558	7
Rv3628	4
Rv1649	4
Rv0167	3
Rv1497	7
Rv0811c	34
Rv2796c	38
Rv2158c	7
Rv1238	17
Rv2066	9
Rv2256c	6
Rv2298	2
Rv2065	9
Rv3726	48
Rv1904	10
Rv1942c	19
Rv2033c	6
Rv0164	45
Rv0517	44
Rv3604c	0
Rv2584c	6
Rv1093	0
Rv3134c	13
Rv3872	8
Rv2995c	2
Rv1338	5
Rv1539	0
Rv0860	2
Rv2678c	9
Rv1387	8
Rv1483	3
Rv2852c	2
Rv3214	11
Rv2875	13
Rv3245c	5
Rv3086	9
Rv2284	2
Rv0205	1
Rv2194	3
Rv0379	6
Rv2118c	5
Rv2903c	6
Rv3824c	3
Rv0668	4
Rv1264	0
Rv2184c	11
Rv0222	2
Rv0237	2
Rv1611	0
Rv2148c	7
Rv2440c	4
Rv0744c	5
Rv0351	13
Rv1621c	0
Rv0407	10
Rv2329c	5
Rv3316	3
Rv0898c	43
Rv1224	5
Rv1566c	7
Rv2615c	59
Rv0847	16
Rv2809	0
Rv0226c	1
Rv3057c	29
Rv2097c	5
Rv1622c	0
Rv2083	28
Rv3229c	9
Rv1248c	3
Rv1111c	1
Rv3256c	1
Rv2602	31
Rv3153	3
Rv3461c	4
Rv3756c	17
Rv0129c	13
Rv2402	12
Rv0733	4
Rv1425	11
Rv0872c	8
Rv2050	6
Rv0509	9
Rv2969c	2
Rv1709	9
Rv0955	1
Rv2445c	4
Rv3688c	60
Rv2556c	0
Rv2608	8
Rv2845c	0
Rv0933	11
Rv0516c	3
Rv2085	81
Rv1463	12
Rv1103c	19
Rv2977c	12
Rv0777	0
Rv1473	4
Rv3156	3
Rv1211	1
Rv1152	5
Rv1893	24
Rv2367c	4
Rv2229c	0
Rv1646	80
Rv0988	18
Rv1712	9
Rv1887	1
Rv2922A	0
Rv1388	4
Rv0647c	6
Rv0700	4
Rv3850	1
Rv3258c	1
Rv0531	7
Rv1828	6
Rv2731	9
Rv3495c	3
Rv1618	2
Rv0911	2
Rv0866	5
Rv0426c	0
Rv2574	79
Rv0957	0
Rv0232	9
Rv0316	12
Rv1390	4
Rv3052c	9
Rv0548c	14
Rv2137c	11
Rv0576	2
Rv3208	5
Rv3683	0
Rv2474c	1
Rv2169c	5
Rv2846c	3
Rv3148	3
Rv2752c	0
Rv3921c	4
Rv3713	7
Rv2589	2
Rv1456c	3
Rv1018c	7
Rv1162	5
Rv1676	9
Rv2198c	3
Rv1648	78
Rv0608	10
Rv3319	3
Rv2187	3
Rv0239	8
Rv2719c	1
Rv0605	12
Rv1694	1
Rv3383c	6
Rv2031c	13
Rv3053c	9
Rv1508c	10
Rv2454c	2
Rv1420	1
Rv3274c	2
Rv1274	4
Rv2850c	9
Rv1415	0
Rv0738	0
Rv0264c	3
Rv0236c	1
Rv2888c	0
Rv2737c	1
Rv3283	0
Rv3421c	7
Rv0288	8
Rv3811	7
Rv1862	0
Rv2374c	13
Rv2441c	4
Rv0945	3
Rv2241	2
Rv1310	4
Rv0558	14
Rv3758c	17
Rv3608c	0
Rv3686c	3
Rv2213	0
Rv1099c	2
Rv1391	0
Rv1824	6
Rv0003	1
Rv1157c	7
Rv3150	3
Rv3642c	77
Rv0405	3
Rv3058c	29
Rv3282	2
Rv1426c	76
Rv2464c	9
Rv2580c	0
Rv3356c	0
Rv3734c	11
Rv0423c	0
Rv2509	6
Rv3490	12
Rv3250c	0
Rv0907	7
Rv3137	0
Rv0908	7
Rv0460	0
Rv0390	0
Rv3675	9
Rv0723	4
Rv0110	5
Rv0997	13
Rv1847	14
Rv0041	0
Rv1703c	5
Rv1416	0
Rv0638	4
Rv1856c	10
Rv2773c	0
Rv3687c	10
Rv3781	12
Rv3693	5
Rv0512	9
Rv3581c	6
Rv2272	3
Rv3883c	8
Rv2988c	2
Rv2219A	10
Rv1139c	5
Rv0809	0
Rv2694c	6
Rv0804	0
Rv2412	4
Rv1438	2
Rv3733c	11
Rv1525	8
Rv2096c	5
Rv0433	0
Rv3219	6
Rv3305c	0
Rv3705c	0
Rv0298	10
Rv2394	0
Rv2965c	0
Rv0014c	7
Rv0999	13
Rv2128	0
Rv1192	3
Rv3806c	1
Rv3376	6
Rv2247	2
Rv1749c	8
Rv3230c	3
Rv1559	0
Rv1066	30
Rv1381	10
Rv2144c	7
Rv2761c	0
Rv2931	3
Rv3130c	13
Rv2468A	3
Rv3458c	4
Rv0466	1
Rv2120c	75
Rv3363c	2
Rv0910	11
Rv0639	4
Rv0545c	14
Rv1177	9
Rv2043c	1
Rv2522c	3
Rv0617	10
Rv1661	3
Rv2002	3
Rv3499c	3
Rv2244	3
Rv2457c	13
Rv2216	2
Rv0165c	3
Rv3037c	1
Rv2419c	1
Rv3275c	0
Rv2313c	32
Rv3547	10
Rv3816c	20
Rv2010	10
Rv3671c	9
Rv0831c	5
Rv1782	8
Rv0508	9
Rv3261	10
Rv1772	3
Rv2206	9
Rv3009c	0
Rv3117	5
Rv3823c	3
Rv3222c	7
Rv1059	2
Rv1280c	6
Rv2420c	4
Rv1324	7
Rv1086	6
Rv2933	3
Rv3455c	4
Rv3312A	6
Rv2395	21
Rv3152	3
Rv0056	4
Rv1487	5
Rv0833	0
Rv0173	3
Rv2215	2
Rv0581	10
Rv3120	5
Rv3302c	11
Rv0147	0
Rv0185	12
Rv0709	4
Rv2532c	10
Rv3869	8
Rv0854	11
Rv0900	0
Rv1287	0
Rv1683	3
Rv1825	6
Rv3846	4
Rv2894c	7
Rv0007	1
Rv1855c	10
Rv2904c	4
Rv2791c	12
Rv3857c	15
Rv3131	13
Rv0241c	2
Rv0691A	5
Rv1848	14
Rv1853	14
Rv0334	12
Rv3355c	0
Rv0149	2
Rv1596	1
Rv2839c	4
Rv3583c	6
Rv3208A	3
Rv2507	7
Rv0922	12
Rv3915	7
Rv3422c	7
Rv1484	3
Rv2224c	0
Rv0713	1
Rv0724	2
Rv0317c	11
Rv2600	0
Rv2112c	5
Rv0801	74
Rv2225	0
Rv0496	1
Rv0870c	5
Rv0752c	2
Rv3151	3
Rv0774c	72
Rv0061c	1
Rv2937	3
Rv1398c	6
Rv2733c	1
Rv3462c	4
Rv0695	5
Rv1076	7
Rv1156	70
Rv1315	7
Rv1901	1
Rv2154c	7
Rv0200	3
Rv1816	0
Rv0475	1
Rv0391	0
Rv0705	4
Rv1196	8
Rv3615c	8
Rv1097c	2
Rv2202c	0
Rv3702c	0
Rv1771	18
Rv2051c	5
Rv0498	1
Rv2391	0
Rv2867c	6
Rv2231c	0
Rv1158c	7
Rv1304	4
Rv2932	3
Rv2230c	0
Rv3777	3
Rv3298c	11
Rv0292	8
Rv2984	1
Rv1472	2
Rv0616A	10
Rv1308	4
Rv2882c	4
Rv1898	2
Rv1751	10
Rv0389	0
Rv1813c	13
Rv0287	8
Rv2575	69
Rv2239c	6
Rv2612c	6
Rv0798c	64
Rv3385c	13
Rv1558	10
Rv1872c	2
Rv3232c	1
Rv2825c	2
Rv2762c	0
Rv1025	1
Rv1337	5
Rv1449c	2
Rv0788	0
Rv0281	8
Rv0715	4
Rv2771c	0
Rv1083	1
Rv0315	12
Rv0444c	13
Rv1775	18
Rv2970A	2
Rv2966c	0
Rv3716c	1
Rv3822	3
Rv2534c	4
Rv1069c	11
Rv3803c	1
Rv2805	63
Rv2948c	3
Rv0422c	0
Rv2782c	3
Rv1993c	62
Rv1295	0
Rv2581c	0
Rv3924c	4
Rv3648c	8
Rv1906c	2
Rv0979A	4
Rv0408	2
Rv2597	0
Rv0760c	5
Rv3682	7
Rv1684	3
Rv3612c	8
Rv0157A	1
Rv2614c	4
Rv2936	3
Rv2794c	2
Rv2738c	6
Rv2756c	0
Rv1650	4
Rv0500	1
Rv0066c	2
Rv0437c	6
Rv2162c	7
Rv0430	1
Rv0336	12
Rv2448c	0
Rv0249c	3
Rv3287c	10
Rv1570	9
Rv2746c	6
Rv3221A	7
Rv1344	3
Rv1829	6
Rv0871	5
Rv0248c	3
Rv3807c	1
Rv3808c	1
Rv3400	12
Rv3213c	1
Rv0458	0
Rv2084	28
Rv1335	5
Rv1638A	1
Rv3028c	2
Rv1476	1
Rv2326c	1
Rv1886c	13
Rv1223	5
Rv0177	3
Rv3160c	10
Rv1947	4
Rv2941	3
Rv0250c	3
Rv1693	1
Rv2208	9
Rv1242	10
Rv3493c	3
Rv1311	3
Rv0144	15
Rv0640	4
Rv2430c	8
Rv0075	0
Rv2925c	4
Rv0896	2
Rv1231c	15
Rv3802c	1
Rv0952	2
Rv0720	4
Rv2975c	1
Rv3099c	7
Rv3780	5
Rv1884c	0
Rv3592	1
Rv3752c	5
Rv2730	9
Rv1422	6
Rv2685	41
Rv0127	12
Rv1159A	65
Rv2164c	1
Rv0186	12
Rv3575c	0
Rv3759c	17
Rv2352c	27
Rv0525	9
Rv1444c	2
Rv0674	2
Rv1294	0
Rv3749c	10
Rv1700	1
Rv3880c	8
Rv1793	8
Rv1437	2
Rv1305	4
Rv3272	3
Rv3889c	8
